channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,4,2,
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,51,25,0.49019607843137253
442,422.179,161.709,267,202,0.7565543071161048
441,208.787,79.8333,0,0,
440,454.3997,173.4382,88,65,0.7386363636363636
439,486.6205,185.1675,17,10,0.5882352941176471
438,241.0062,91.5587,0,0,
437,518.8405,196.8959,0,0,
436,551.0603,208.6245,0,0,
435,273.2253,103.284,0,0,
434,305.4442,115.01,4,0,
433,337.6629,126.7359,3,0,
432,369.8815,138.4616,4,1,
431,402.1,150.1879,117,71,0.6068376068376068
430,434.3186,161.9136,151,116,0.7682119205298014
429,466.5371,173.6401,19,16,0.8421052631578947
428,498.7553,185.3661,0,0,
427,530.9736,197.0923,0,0,
426,253.1154,91.7747,0,0,
425,285.3339,103.4937,0,0,
424,317.5523,115.2142,5,1,0.2
423,349.7707,126.9359,3,0,
422,381.9891,138.6582,7,3,0.42857142857142855
421,414.2072,150.3811,94,64,0.6808510638297872
420,446.4257,162.1048,33,23,0.696969696969697
419,478.6436,173.8288,5,0,0.0
418,510.862,185.5531,0,0,
417,543.08,197.2778,0,0,
416,220.8966,80.0583,0,0,
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,27,22,0.8148148148148148
411,458.5021,162.2831,5,3,0.6
410,490.7221,174.0057,5,0,0.0
409,522.9418,185.7294,0,0,
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,26,11,0.4230769230769231
406,361.84,127.1193,6,1,0.16666666666666666
405,329.6184,115.4001,3,1,
404,297.3957,103.6827,0,0,
403,265.1722,91.9671,0,0,
402,232.9471,80.2552,0,0,
401,200.7195,68.5485,0,0,
400,168.4884,56.8501,0,0,
399,136.2509,45.167,0,0,
398,534.9965,185.8953,0,0,
397,502.7736,174.1724,0,0,
396,470.5501,162.4503,8,3,0.375
395,438.326,150.7284,7,2,0.2857142857142857
394,406.1005,139.0076,58,21,0.3620689655172414
